radlex_code,preferred_description
RID40793,distal region of muscle body of left infraspinatus
RID39138,odynophagia
RID24519,t12 branch to left multifidus
RID26169,brodmann area 32 of middle frontal gyrus
RID28052,dura mater of anterior root of second cervical nerve
RID50553,hemodialysis
RID24969,transverse branch of meningeal branch of right twelfth thoracic nerve
RID40489,region of muscle body
RID26581,anterior long insular gyrus
RID28152,dura mater of posterior root of right third cervical nerve
RID21792,trunk of meningeal branch of left hypoglossal nerve to wall of occipital sinus
RID36904,external granular layer of right Brodmann area 7
RID21547,trunk of greater petrosal nerve
RID10901,annular transducer
RID26000,brodmann area 10 of frontal lobe
RID19246,peritoneal branch of lateral femoral cutaneous nerve
RID29405,muscle layer of left superior major calyx
RID38220,arcuate branch of right superior segmental renal artery
RID132,small intestine
RID1324,posterior basal segment of lower lobe of right lung
RID1322,lateral basal segment of lower lobe of right lung
RID1328,superior division of upper lobe of left lung
RID1326,left lung
RID1327,upper lobe of left lung
RID1329,apicoposterior segment of upper lobe of left lung
RID1320,anterior basal segment of lower lobe of right lung
RID42040,zone of diaphysis of clavicle
RID42858,distal metaphysis of metacarpal bone
RID15474,nerve to right talcalcaneonavicular joint
RID43037,cartilage of coracoid process
RID22145,trunk of communicating branch of iliohypogastric nerve with subcostal nerve
RID21102,right nucleus ambiguus
RID13627,brodmann area 7 of postcentral gyrus
RID18161,white matter structure of cerebral hemisphere
RID40731,belly of right supraspinatus
RID48191,medial part of thigh
RID27571,lamina of gray matter of spinal cord
RID39399,subdivision of surface of metacarpal bone
RID39147,equivocal
RID17077,white matter of right orbital gyrus
RID35433,peripheral bubble sign
RID30772,lumen of principal gland
RID22358,trunk of right superior gluteal nerve
RID20438,lateral zone of hypothalamus
RID14996,nerve to pronator quadratus
RID42901,distal metaphysis of distal phalanx of left middle finger
RID38706,Omnipaque-300
RID40999,lateral ligament of carpometacarpal joint of left thumb
RID29883,right pectoral part of male chest
RID47643,medial antebrachial cutaneous nerve component of trunk proper of anterior ramus of first thoracic nerve
RID32550,prevesicular lymphatic vessel
RID35054,border sign
RID48885,lateral nail fold of left big toe
RID33698,anterior wall of urinary bladder
RID20293,gray matter of left lateral orbital gyrus
RID28690,multiecho
RID24682,c7 branch to right longissimus capitis
RID17705,internal capsule segment of corticospinal tract
RID36909,internal granular layer of Brodmann area 7
RID11289,incorrect protocol
RID18785,posterior root of third sacral nerve
RID23819,gray communicating ramus of thoracic nerve
RID46623,proximal region of muscle body of short head of left biceps femoris
RID35008,anterior sulcus sign
RID36585,branch of anterior choroidal artery to substantia nigra
RID12744,multiple acquisition reconstruction procedure step
RID20633,medial habenular nucleus
RID38930,vasculature of lobe of prostate
RID41751,suprasternal compartment
RID11466,image center noise
RID40577,first belly of flexor digitorum brevis
RID21643,trunk of branch of left external laryngeal nerve to pharyngeal nerve plexus
RID25458,nerve to third lateral lumbar intertransversarius
RID32834,right medial inguinal fossa
RID42340,head of left semitendinosus
RID45712,set of biliary ducts
RID34903,membranous part of cardiac septum
RID43290,rim enhancement pattern
RID27326,t8 segment of dorsal gray column of spinal cord
RID18569,central part of gracile nucleus
RID14749,superior cervical cardiac branch of left vagus nerve
RID11312,incorrect patient position
RID44449,central segment of left first lumbar spinal nerve
RID18373,ventral part of central lobule
RID38850,right dorsal lobe of prostate
RID35830,anterior basal segmental artery
RID19121,rootlet of left ninth thoracic nerve
RID32231,diffuse mucosa-associated lymphoid tissue
RID27776,right fourth lumbar splanchnic nerve
RID20847,left lateral superior olivary nucleus
RID44605,distal zone of left brachialis
RID45730,ivory-like
RID18557,subdivision of lateral reticular nucleus
RID28088,dura mater of anterior root of left fifth thoracic nerve
RID43760,lateral common palmar digital branch of left median nerve
RID43801,third dorsal digital branch of right ulnar nerve
RID40004,left acromion
RID49643,urinary pouch
RID26769,gray matter of right temporal pole
RID30539,region of wall of uterine tube
RID24285,c4 branch to right multifidus
RID16854,gray matter of L1 segment of spinal cord
RID34115,lobule IX of right hemisphere of cerebellum
RID22801,third intercostal nerve
RID45657,imaging pass
RID30185,intestinal lymphatic tree
RID43827,fourth dorsal digital branch of radial nerve
RID39715,proximal epiphysis of middle phalanx of index finger
RID41281,tendon of right scalenus posterior
RID29890,inframammary part of chest
RID30874,peritoneal sac
RID37433,plexiform layer of right Brodmann area 35
RID42838,proximal metaphysis of distal phalanx of left little finger
RID10722,diffusion weighting
RID36169,right deep middle cerebral vein proper
RID12142,lingual branch of facial nerve
RID40359,muscle body of transversus abdominis
RID27660,corticobulbar tract
RID49686,elasticity descriptor
RID20441,trigone of lateral lemniscus
RID41943,articular cartilage of right coracoid process
RID48327,area of origin of right tibialis anterior
RID17210,segment of white matter of gyrus of temporal lobe
RID34454,zone of vein
RID46040,pyloric stenosis
RID40121,posterior zone of superior part proper of body of right scapula
RID19411,neuroglial network of white matter of C4 segment
RID26514,apex of right insula
RID23903,nerve to superior oblique
RID39420,zone of modiolus of cochlea
RID45558,l2 root of left lateral femoral cutaneous nerve
RID24098,medial branch of posterior ramus of right third lumbar nerve
RID26061,brodmann area 21 of inferior temporal gyrus
RID43115,right extensor digitorum
RID18517,subdivision of medial parabrachial nucleus
RID32136,lateral sacral lymph node
RID43857,distal tendon of left vastus lateralis
RID11996,ununoctium
RID25117,descending branch of meningeal branch of left fourth thoracic nerve
RID394,cardinal ligament
RID3945,simple bone cyst
RID3942,thymic cyst
RID3943,thyroglossal duct cyst
RID3940,synovial cyst
RID3941,Tornwaldt cyst
RID3948,aneursymal bone cyst
RID3949,ganglion cyst
RID3944,tumor-like lesion of bone
RID33287,posterior perisplenic space
RID25194,descending branch of meningeal branch of left fifth cervical nerve
RID19650,dorsal longitudinal fasciculus of medulla
RID21737,trunk of gastric branch of vagus nerve
RID14152,inferior branch of left oculomotor nerve
RID46396,c8 ventral column nucleus of radial nerve
RID37119,internal granular layer of right Brodmann area 18
RID25100,ascending branch of meningeal branch of left fifth sacral nerve
RID46580,region of skeletal muscle body
RID37736,plexiform layer of Brodmann area 51
RID39810,distal epiphysis of distal phalanx of thumb
RID29238,segment of right lobe of liver
RID31513,subserosa of infundibulum of left uterine tube
RID42860,distal metaphysis of right first metacarpal bone
RID46695,lateral pectoral nerve component of trunk of anterior ramus of right fifth cervical nerve
RID875,common digital artery of web space
RID33432,mucosa of zone of duodenum
RID46948,radial nerve component of trunk proper of anterior ramus of left sixth cervical nerve
RID40022,superior part of acromion
RID36897,multiform layer of right Brodmann area 6
RID21337,trunk of meningeal branch of mandibular nerve
RID41070,distal tendon of right pectoralis minor
RID11408,non-uniform signal intensity artifact
RID28161,dura mater of posterior root of right sixth cervical nerve
RID32364,left second anterior cervical intertransversarius
RID29001,normality descriptor
RID39112,insignificant
RID20798,ventral reticular nucleus
RID41598,tendon of right extensor digitorum to right middle finger
RID42217,anterior surface of notch region of scapula
RID37209,external granular layer of left Brodmann area 23
RID27862,branch of external acoustic meatus nerve
RID35044,bladder ear sign
RID38486,muscular branch of lateral branch of dorsal branch of left second lumbar artery
RID35844,descending thoracic aorta
RID20112,thyroid branch of middle cervical ganglion
RID45797,pattern descriptor
RID18970,anterior rootlet of right first sacral nerve
RID30552,wall of infundibulum of uterine tube
RID16862,gray matter of S3 segment of spinal cord
RID17029,posterior limb of right internal capsule
RID48630,skin of medial part of right leg
RID44448,central segment of right first lumbar spinal nerve
RID26371,left primary motor cortex
RID35022,arterial cut-off sign
RID34699,tuberculous arthritis
RID36764,lamina of primary motor cortex
RID27754,right pudendal nerve
RID22658,superior trunk of right brachial nerve plexus
RID32964,cavity of hemithorax
RID20591,dorsomedial part of supraoptic nucleus
RID23794,visceral branch of anterior ramus of left third sacral nerve
RID38712,Isovue-200
RID27352,l3 segment of right dorsal gray column of spinal cord
RID40784,distal region of muscle body
RID33825,sulcal segment of right precentral gyrus
RID46169,branch of long thoracic nerve to serratus anterior (1)
RID38570,muscular branch of ventral branch of third lumbar artery
RID41822,diaphysis of distal phalanx of right thumb
RID15810,left first dorsal digital nerve
RID23708,l3 root of obturator nerve
RID19564,neuronal component of white matter of T3 segment
RID15805,left intermediate dorsal cutaneous nerve
RID22078,trunk of left lateral pectoral nerve
RID26134,brodmann area 30 of right cuneus
RID46873,axillary nerve component of posterior root of fifth cervical nerve
RID36804,lamina of Brodmann area 2
RID46822,lateral cord segment of C7 root of left musculocutaneous nerve
RID34166,ventrolateral prefrontal cortex
RID37545,lamina of Brodmann area 41
RID40630,belly of second palmar interosseous of right hand
RID26814,gray matter of anterior short insular gyrus
RID32120,lateral vesicular lymph node
RID15096,medial proper palmar digital branch of ulnar nerve to left little finger
RID21873,trunk of sixth thoracic nerve
RID46701,lateral pectoral nerve component of anterior root of right fifth cervical nerve
RID38270,caudate lobe branch of left portal vein
RID11540,death complication
RID21405,trunk of branch of inferior alveolar nerve
RID23739,white communicating ramus of third lumbar nerve
RID21585,trunk of cochlear nerve
RID45185,anterior root of left eighth cervical nerve
RID19584,neuronal component of white matter of S4 segment
RID18009,ventral acoustic stria
RID20060,nerve to right tensor fasciae latae
RID15053,branch of ulnar nerve to flexor digitorum profundus
RID32011,common iliac lymph node group
RID28830,lumbar intervertebral disk
RID45962,WaitingForRoom
RID11662,Gadolinium-labeled albumin
RID20541,lateral nuclear group of right thalamus
RID13657,brodmann area 10 of superior frontal gyrus
RID27222,t3 segment of left dorsal thoracic nucleus
RID48679,skin of right third toe
RID10462,head first orientation
RID19145,rootlet of right fourth lumbar nerve
RID23155,communicating branch between left c4 and c5 anterior rami
RID41194,tendon of extensor digitorum longus to third toe
RID42866,distal metaphysis of right third metacarpal bone
RID21778,trunk of communicating branch of left glossopharyngeal nerve with left auriculotemporal nerve
RID15550,cavity of collateral trigone of right lateral ventricle
RID43655,Miller view
RID38980,surface of right lateral lobe of prostate
RID42473,proximal part of diaphysis of femur
RID27380,coccygeal segment of right dorsal gray column of spinal cord
RID21308,surface of L3 segment
RID35602,supinator sign
RID24832,lateral branch of posterior ramus of right seventh thoracic nerve to right longissimus thoracis
RID16568,neural network of back
RID39107,urogenital finding
RID29371,submucosa of common bile duct
RID42197,surface of right infraspinous fossa
RID37621,lamina of Brodmann area 45
RID46033,retraction
RID34118,lingula of vermis of cerebellum
RID43354,temporal enhancement pattern
RID44297,postganglionic segment of posterior root of left fourth cervical spinal nerve
RID14609,left utricular nerve
RID23100,c2 branch to left longus colli
RID15445,interosseous nerve of leg
RID49555,salivary duct contrast
RID50710,Lung-RADS S
RID45812,workflow term
RID31562,t4 segment of esophagus
RID38311,precentral branch of right first lumbar artery
RID40661,inferior belly of omohyoid
RID24158,lateral branch of posterior ramus of right second sacral nerve
RID40960,dorsal ligament of left fourth carpometacarpal joint
RID44964,right thoraco-acromial artery
RID46250,upper subscapular nerve branch of posterior division of anterior ramus of fifth cervical nerve
RID35391,musculoskeletal crescent sign
RID49064,proximal zone of right vastus medialis
RID27486,s4 segment of ventral gray column of spinal cord
RID28667,patient state
RID50510,upper pole of right thyroid lobe
RID33003,cavity of upper abdomen
RID29510,ostium of lobular duct of pancreas
RID46929,radial nerve component of anterior root of left fifth cervical nerve
RID27908,lower branch of internal laryngeal nerve to arytenoideus
RID26303,brodmann area 41 of left transverse temporal gyrus
RID16606,neural network of right free lower limb
RID40574,belly of right flexor digitorum accessorius
RID24149,medial branch of posterior ramus of left third sacral nerve
RID24119,lateral branch of posterior ramus of fifth lumbar nerve
RID13545,segment of Brodmann area 11
RID31186,parietal peritoneum of lesser sac
RID45937,SampleSent
RID4497,somatostatinoma
RID449,lateral aortic lymph node
RID4498,VIPoma
RID4499,neuronal or mixed neuronal-glial neoplasm
RID4495,pineal parenchymal tumor of intermediate differentiation
RID4491,pineoblastoma
RID4493,pineocytoma
RID4490,pineal parenchymal neoplasm
RID19441,neuronal component of neuraxis
RID18489,parvicellular part of ventral posteromedial nucleus
RID42765,proximal metaphysis of left humerus
RID46363,c5 ventral column nucleus of axillary nerve
RID24875,t11 branch to right iliocostalis lumborum
RID11618,ionic linear gadolinium chelate
RID10670,single-tuned detection mode
RID41203,tendon of fibularis tertius
RID35330,knuckle sign
RID38995,parenchyma of left lobe of prostate
RID23287,lateral cutaneous branch of left first intercostal nerve
RID21826,trunk of branch of right hypoglossal nerve to right geniohyoid
RID39890,epiphysis of humerus
RID11042,cryoplasty balloon
RID45439,c6 root of axillary nerve
RID47276,median nerve component of trunk proper of anterior ramus of first thoracic nerve
RID37661,plexiform layer of right Brodmann area 47
RID38603,on call
RID893,dural artery
RID49914,vascular
RID25737,t1 segment
RID41634,tendon of left extensor indicis
RID10704,spin labeling
RID46574,t1 nucleus of dorsal column for medial cutaneous nerve of arm
RID34700,chiari malformation type I
RID35578,staghorn calculus
RID45136,right radial artery
RID42574,femoral triangle part of surface of psoas major
RID27155,t10 segment of left nucleus proprius of spinal cord
RID28991,sagittal stratum
RID32556,parametrial lymphatic vessel
RID19399,neuroglial network of white matter of spinal cord
RID15137,nerve to left opponens digiti minimi
RID45227,central segment of right supraclavicular nerve
RID27878,lingual branch of right glossopharyngeal nerve to right vallate papillae
RID49336,left medial patellar retinaculum
RID35608,tangent sign
RID49318,condyle of right femur
RID34842,synovial joint of pelvic girdle
RID15173,right posterior antebrachial cutaneous nerve
RID16728,neural network of upper lobe of right lung
RID30618,serosa of transverse colon
RID29003,detector head position
RID38589,conus branch of right coronary artery
RID30346,left uterine tube
RID41875,diaphysis of second metatarsal bone
RID16974,medial cutaneous nerve of left leg
RID16674,neural network of anal canal
RID45175,anterior root of left third cervical nerve
RID20843,left reticulotegmental nucleus
RID23386,nerve to right third external intercostal muscle
RID35750,zone of scapula
RID40678,belly of left rectus femoris
RID32045,parietal pre-aortic lymph node
RID45632,synovial membrane of articular capsule of synovial joint
RID32692,fatty layer
RID32321,interspinalis cervicis
RID34064,t6 segment of anterior corticospinal tract
RID31692,lumen of proximal part of ileum
RID38284,right gastric vein
RID13446,peripheral nervous system
RID45940,Split acquisition
RID49699,post-therapy skin thickening and trabecular thickening
RID49428,right subtendinous prepatellar bursa
RID19831,sympathetic ganglion
RID15667,ventral supraoptic decussation
RID11994,ununseptium
RID29902,nipple
RID20124,gray communicating ramus of cervicothoracic ganglion to fifth cervical spinal nerve
RID37030,multiform layer of right Brodmann area 13
RID43455,parietal fascia of levator ani
RID27891,upper branch of left internal laryngeal nerve to epiglottis
RID31219,posterior lamina of left coronary ligament
RID2518,middle crest of sacrum
RID251,membranous urethra
RID2511,sacral foramen
RID2515,sacral ala
RID2519,sacral groove
RID2510,transverse ridge of sacrum
RID2513,superior articular process of sacrum
RID2516,sacral canal
RID2514,sacral promontory
RID2517,sacral tuberosity
RID17745,c3 segment of left lateral corticospinal tract
RID35524,Semitic nose sign
RID5418,scaphocephaly
RID5411,bathrocephaly
RID5416,oxycephaly
RID5412,brachycephaly
RID5417,plagiocephaly
RID5415,oocephalus
RID5413,dolicocephaly
RID5419,turricephaly
RID13741,hindbrain segment of dura mater
RID25484,nerve to fifth thoracic rotator
RID40870,ligament of right wrist joint
RID14322,anterior deep temporal nerve
RID39696,proximal epiphysis of left third metacarpal bone
RID30217,anterior wall of zone of stomach
RID32902,internal longitudinal muscle layer of right uterine tube
RID28504,centrilobular emphysema
RID33858,segment of supramarginal gyrus
RID11888,gadolinium
RID26611,anterior part of right superior temporal gyrus
RID33801,right parietal operculum
RID24602,c2 branch to right longissimus cervicis
RID47387,ulnar nerve component of inferior trunk segment of left first thoracic nerve
RID36336,superficial branch of left supra-orbital artery
RID28116,dura mater of anterior root of left second lumbar nerve
RID43319,peripheral discontinuous nodular enhancement
RID42251,head of left second rib
RID46931,radial nerve component of posterior root of right fifth cervical nerve
RID49744,endograft placement
RID34428,scintigraphy
RID23073,communicating branch of anterior ramus of left first cervical nerve to left hypoglossal nerve
RID49957,set of abdominal veins
RID13997,polar part of inferior temporal gyrus
RID40698,belly of plantar interosseous of foot
RID6293,seropositive
RID6292,seronegative
RID629,supraorbital artery
RID6297,osteolytic
RID6294,periarticular
RID6299,destruction pattern
RID6296,bone forming characteristic
RID6295,bone pathophysiologic process descriptor
RID6290,pauciarticular
RID6291,arthritis serology
RID6298,osteosclerotic
RID42096,anterior surface of neck of left scapula
RID39527,set of anatomical canals
RID15593,cortex of right tonsil of cerebellum
RID46373,c5 dorsal column nucleus of left radial nerve
RID35168,double duct sign
RID35065,bullet and bodkin sign
RID46376,c6 dorsal column nucleus of left radial nerve
RID29906,nipple of female breast
RID35776,Nanoknife
RID36775,internal granular layer of right primary motor cortex
RID36386,third superior hypophysial artery
RID36696,internal granular layer of frontal lobe
RID42604,medial surface of right medial scalenus medius
RID23210,c8 part of anterior division of left brachial plexus
RID30783,male back
RID26894,c8 segment of right substantia gelatinosa
RID28623,posterior profile projection
RID47850,axillary nerve nucleus of right ventral column
RID35158,dog leg sign
RID49331,proximal epiphysis proper of left fibula
RID31884,external surface of abdominal part of left ureter
RID35768,cisternography
RID39759,intertrochanteric crest of right femur
RID33868,sulcal segment of left superior parietal lobule
RID38255,postglomerular segment of renal artery
RID13898,right medial occipitotemporal gyrus
RID32756,set of thoracic intertransversarii
RID36439,precuneal branch of left pericallosal artery
RID29473,internal surface of body of uterus
RID45922,RemapHL7ID
RID42571,surface proper of right iliacus
RID18139,hilus of dentate gyrus
RID31359,set of central superior mesenteric lymphatic vessels
RID45898,PatientMerge
RID37885,medial tributary of dorsal tributary of right third lumbar vein
RID27094,nucleus proprius of cervical segment of dorsal gray column of spinal cord
RID29289,mucosa of zone of gallbladder
RID21677,trunk of superior cervical cardiac branch of right vagus nerve
RID10481,modified Bruce protocol exercise
RID45700,needle localization
RID41148,tendon of sartorius
RID18151,left juxtarestiform body
RID23983,medial branch of posterior ramus of right second thoracic nerve
RID21625,trunk of external laryngeal nerve
RID17207,white matter of superior part of right precentral gyrus
RID14635,right carotid sinus nerve
RID43557,3 or fewer views
RID24655,c5 branch to splenius cervicis
RID10528,oblique projection
RID39256,impeded
RID43032,cartilage of head of right scapula
RID16817,nerve to infraspinatus muscle (1)
RID28149,dura mater of posterior root of right second cervical nerve
RID43849,distal tendon of right vastus medialis
RID33898,sulcal segment of lateral occipital lobe
RID32207,lumen of left inferior minor calyx
RID46496,c5 dorsal column nucleus of left suprascapular nerve
RID41042,proximal tendon of spinal part of left deltoid
RID42144,prescalene space
RID21444,trunk of stylohyoid branch of left facial nerve
RID30748,right round ligament of uterus
RID24735,nerve to first levator costae
RID32621,superior rectal lymphatic vessel
RID20456,sagulum nucleus
RID18787,posterior root of left third sacral nerve
RID45010,right infrascapular artery
RID32704,external surface of right uterine tube proper
RID29532,compartment of abdomen proper
RID48926,skin of medial part of left fourth toe
RID40918,grayson ligament of left thumb
RID36113,tributary of right inferior petrosal sinus from pons
RID16549,neural network of nose
RID24343,c8 branch to right semispinalis cervicis
RID42196,surface of infraspinous fossa
RID34019,cervical segment of left anterior corticospinal tract
RID16060,vasculature of gray matter of C6 segment
RID37114,external granular layer of left Brodmann area 18
RID31960,epicolic lymph node group
RID39172,serosanguinous
RID38111,posterior superior pancreaticoduodenal artery
RID37361,external granular layer of left Brodmann area 31
RID27979,nerve to third lumbrical of left foot
RID38112,subdivision of superior pancreaticoduodenal artery
RID46175,tendon of long head of biceps femoris
RID18091,left pallidohabenular bundle
RID40726,belly of left vastus medialis
RID49072,proximal zone of left vastus lateralis
RID16474,set of rootlets of lumbar nerve
RID11287,noise artifact
RID29616,region of surface of stomach
RID44125,peripheral segment of right fourth sacral spinal nerve
RID36771,external pyramidal layer of primary motor cortex
RID32541,gluteal lymphatic vessel
RID4363,myxoid liposarcoma
RID4366,angiomyoliposarcoma
RID4362,fibroblastic liposarcoma
RID4364,pleomorphic liposarcoma
RID4367,lipomatous neoplasm
RID4360,dedifferentiated liposarcoma
RID4368,lymphatic vessel neoplasm
RID4361,mixed liposarcoma
RID4365,round cell liposarcoma
RID43911,parietal tributary of superficial temporal vein
RID24485,t9 branch to right multifidus
RID38903,subdivision of inferior gluteal artery
RID35068,calyceal crescent sign
RID30106,internal surface of posterior wall of pyloric antrum
RID30938,areolar connective tissue of capsule of accessory parathyroid gland
RID43548,collicular part of ejaculatory duct
RID42252,head of third rib
RID37139,internal granular layer of left Brodmann area 19
RID29971,left lateral part of chest
RID10523,lateral projection
RID33821,orbital part of right superior frontal gyrus
RID21781,trunk of communicating branch of left glossopharyngeal nerve with left chorda tympani
RID45595,s2 root of left inferior gluteal nerve
RID15559,subdivision of cavity of third ventricle
RID16327,set of gastric nerve plexuses
RID47175,superior anterior division segment of left median nerve
RID2086,bicipitoradial bursa
RID2085,deep subtendinous olecranon bursa
RID208,middle part of kidney
RID2080,proximal tendon of brachialis
RID2088,cubital tunnel bursa
RID2082,olecranon bursa
RID2083,superficial olecranon bursa
RID2081,bursa of elbow
RID2089,medial epicondylar bursa
RID2087,interosseous bursa
RID2084,deep intratendinous olecranon bursa
RID32513,distal part of transverse colon
RID19997,gray matter of right alar central lobule
RID13982,polar part of inferior frontal gyrus
RID23452,branch of seventh intercostal nerve to transversus thoracis
RID48470,left soleus
RID29807,wall of cervix of uterus
RID48911,skin proper of dorsal part of little toe
RID13826,wall of third ventricle
RID38141,inferior para-aortic lymph node group
RID47064,median nerve component of posterior root of left fifth cervical nerve
RID16875,medulla of vermis of posterior lobe of cerebellum
RID21159,nucleus cornucommissuralis anterior
RID45862,ExamCancelled
RID44752,parietal branch of medial occipital artery
RID42999,segment of coracohumeral ligament
RID22283,trunk of right pudendal nerve
RID41558,tendon of left extensor digitorum brevis
RID40621,belly of third lumbrical of left foot
RID1454,left superior recess of posterior mediastinal triangle
RID1455,posterior junction line
RID1458,vascular pedicle
RID1457,left esophageal stripe
RID1450,posterior tracheal stripe
RID1453,right superior recess of posterior mediastinal triangle
RID1452,posterior mediastinal triangle
RID1459,infra-azygos area
RID1456,right esophageal stripe
RID17012,white matter of left occipital lobe
RID13793,calcarine spur of left lateral ventricle
RID26736,segment of inferior olivary complex
RID50514,middle pole of left thyroid lobe
RID771,posterior lateral nasal artery
RID7712,anterior cervical lymph node
RID7719,juguloomohyoid node
RID7715,deep cervical lymph node
RID7717,jugulodigastric node
RID7711,submandibular lymph node
RID7716,internal jugular lymph node
RID7713,anterior jugular lymph node
RID7710,submental lymph node
RID14998,nerve to left pronator quadratus
RID13311,fascia of arm
RID11420,phase non-uniformity arising from phase sensitivity of coil
RID37346,internal granular layer of Brodmann area 30
RID47772,long thoracic nerve component of trunk of fifth cervical nerve
RID48292,posterior zone of medial intercondylar tubercle of left tibia
RID39401,surface of subdivision of tarsal bone
RID20850,left medial superior olivary nucleus
RID47878,superior subscapular nerve nucleus of right ventral column
RID22439,trunk of medial plantar nerve
RID13383,fourth lumbrical muscle of foot
RID27058,l2 segment of marginal zone of left dorsal gray column of spinal cord
RID34041,c7 segment of left anterior corticospinal tract
RID39025,subdivision of inferior vesical artery
RID10423,decubitus position
RID27335,t11 segment of dorsal gray column of spinal cord
RID13312,brachial fascia
RID10757,k-space trajectory
RID19543,neuronal component of gray matter of S5 segment
RID40746,belly of right deltoid
RID23505,branch of ninth intercostal nerve to internal oblique
RID13857,cerebral hemisphere
RID17215,white matter of polar part of right superior temporal gyrus
RID21998,trunk of communicating branch of cervical nerve plexus with vagus nerve
RID25269,lateral branch of anterior cutaneous branch of left eleventh intercostal nerve
RID658,superior internal parietal artery
RID6589,reticular nucleus of thalamus
RID6585,metathalamus
RID6583,stria medullaris thalami
RID6588,nucleus of thalamus
RID6582,anterior tubercle of diencephalon
RID6581,interthalamic adhesion
RID6584,pulvinar
RID26033,brodmann area 18 of occipital segment of fusiform gyrus
RID13354,radial digital nerve to long finger
RID24573,cutaneous branch of lateral branch of posterior ramus of ninth thoracic nerve
RID34573,lumbar vertebral column
RID40588,fourth belly of left flexor digitorum brevis
RID35037,bell-shaped ureter sign
RID27416,thoracic segment of left ventral gray column of spinal cord
RID11123,intracorporus cavernosum
RID28268,dura mater of anterior rootlet of left first thoracic nerve
RID29600,cavity of lower uterine segment
RID36480,temporo-occipital branch of middle cerebral artery
RID19309,neuroglial network of white matter of midbrain
RID15398,nerve to left plantaris
RID38817,compound exocrine gland
RID32846,ovarian fossa
RID23701,l2 root of genitofemoral nerve
RID14563,nerve to right transversus menti
RID47912,inferior subscapular nerve nucleus of ventral column
RID14024,first short gyrus of insula
RID32122,uterine paracervical lymph node
RID22391,trunk of semimembranosus branch of right sciatic nerve
RID33727,mucosa of pelvic part of left ureter
RID14979,nerve to superficial head of left flexor pollicis brevis
RID44300,postganglionic segment of posterior root of left fifth cervical spinal nerve
RID16383,set of communicating branches of auriculotemporal nerve with facial nerve
RID12192,auricular branch of vagus nerve
RID15638,right induseum griseum
RID44434,central segment of ninth thoracic spinal nerve
RID47885,thoracodorsal nerve nucleus of right ventral column
RID49282,area of origin of left medial patellotibial ligament
RID15892,neural tissue of thoracic subsegment of spinal cord
RID45981,AcquisitionDuration
RID31504,subserosa of isthmus of left uterine tube
RID19749,eighth cervical spinal ganglion
RID31195,parietal peritoneum of right upper quadrant of abdomen
RID43401,2-3 views
RID34742,hydropneumoperitoneum
RID43657,modified Law view
RID30728,omental taenia
RID733,parietal branch of superficial temporal artery
RID7333,medial plantar nerve
RID7330,sciatic nerve
RID7339,third proper digital nerve
RID7337,second proper digital nerve
RID7338,third common digital nerve
RID7331,tibial nerve
RID11546,neurologic complication
RID15433,right superior genicular nerve
RID15738,gray matter of subsegment of spinal cord
RID14446,frontal branch of right facial nerve
RID38838,autonomic nerve plexus
RID14908,right intermediate supraclavicular nerve
RID27471,l5 segment of right ventral gray column of spinal cord
RID28931,inferior rectal lymph node
RID28986,posterior segment of right corona radiata
RID49519,high grade prostatic intraepithelial neoplasia
RID17719,pyramidal decussation segment of left corticospinal tract
RID49217,distal end of femur
RID33527,medial surface of right ovary
RID50291,PI-RADS 3 - Intermediate
RID37318,plexiform layer of Brodmann area 29
RID15859,branch of spinal accessory nerve
RID41353,tendon of right multifidus cervicis
RID32142,mucosal fold of isthmus of left uterine tube
RID11522,side effect
RID19467,neuronal component of thoracic subsegment of spinal cord
RID31611,right rectus abdominis
RID26147,brodmann area 31 of left precuneus
RID31447,posterior wall of middle part of ileum
RID14531,lower deep buccal branch of facial nerve
RID35263,Hawkins sign
RID42980,metaphysis of right fifth metacarpal bone
RID10649,Helmholtz coil
RID28292,dura mater of anterior rootlet of left ninth thoracic nerve
RID17286,white matter of inferior semilunar lobule
RID30142,bona fide anatomical line
RID15987,pia-arachnoid of brain
RID10415,device removal
RID34708,spina bifida
RID27649,white matter of middle part of left middle frontal gyrus
RID25661,nerve to right quadratus femoris
RID29261,right uterine tube proper
RID43593,left oblique view
RID35907,branch of central retinal artery
RID12934,biopsy brush
RID20399,gray matter of right accessory short gyrus
RID28835,report footer
RID21832,trunk of cervical nerve
RID2163,flexor carpi ulnaris muscle
RID2161,flexor carpi radialis muscle
RID2162,palmaris longus muscle
RID2168,flexor digitorum profundus muscle
RID2165,radial head of flexor digitorum superficialis muscle
RID2169,flexor pollicis longus muscle
RID2164,flexor digitorum superficialis muscle
RID2160,pronator teres muscle
RID2166,ulnar head of flexor digitorum superficialis muscle
RID2167,deep muscle of volar forearm
RID20047,subdivision of epidural space
RID31669,muscle layer of proximal part of ileum
RID21966,trunk of posterior branch of right great auricular nerve
RID16127,nerve to serratus anterior (2)
RID40650,belly of lateral head of right triceps brachii
RID25851,left Brodmann area 22
RID35224,floating myodil sign
RID49866,deep biopsy
RID37713,multiform layer of Brodmann area 49
RID16554,neural network of subdivision of mouth
RID814,lateral posterior choroidal artery
RID16595,neural network of wrist
RID21675,trunk of cervical cardiac branch of vagus nerve
RID38909,prostatic stroma proper
RID34889,pulmonary infarction
RID42001,posterior surface of surgical neck of humerus
RID38123,prepancreatic artery
